date,state,count,deaths,recovered,tested
2020-3-4,NSW,22,NA,NA,NA
2020-3-4,QLD,11,NA,NA,NA
2020-3-4,VIC,10,NA,NA,NA
2020-3-4,SA,5,NA,NA,NA
2020-3-4,WA,2,NA,NA,NA
2020-3-4,TAS,1,NA,NA,NA
2020-3-4,ACT,0,NA,NA,NA
2020-3-4,NT,1,NA,NA,NA
2020-3-5,NSW,25,NA,NA,NA
2020-3-5,QLD,13,NA,NA,NA
2020-3-5,VIC,10,NA,NA,NA
2020-3-5,SA,7,NA,NA,NA
2020-3-5,WA,3,NA,NA,NA
2020-3-5,TAS,1,NA,NA,NA
2020-3-5,ACT,0,NA,NA,NA
2020-3-5,NT,1,NA,NA,NA
2020-3-6,NSW,28,NA,NA,NA
2020-3-6,QLD,14,NA,NA,NA
2020-3-6,VIC,10,NA,NA,NA
2020-3-6,SA,7,NA,NA,NA
2020-3-6,WA,3,NA,NA,NA
2020-3-6,TAS,1,NA,NA,NA
2020-3-6,ACT,0,NA,NA,NA
2020-3-6,NT,0,NA,NA,NA
2020-3-7,NSW,36,NA,NA,NA
2020-3-7,QLD,14,NA,NA,NA
2020-3-7,VIC,11,NA,NA,NA
2020-3-7,SA,7,NA,NA,NA
2020-3-7,WA,3,NA,NA,NA
2020-3-7,TAS,2,NA,NA,NA
2020-3-7,ACT,0,NA,NA,NA
2020-3-7,NT,0,NA,NA,NA
2020-3-8,NSW,40,NA,NA,NA
2020-3-8,QLD,15,NA,NA,NA
2020-3-8,VIC,12,NA,NA,NA
2020-3-8,SA,7,NA,NA,NA
2020-3-8,WA,4,NA,NA,NA
2020-3-8,TAS,2,NA,NA,NA
2020-3-8,ACT,0,NA,NA,NA
2020-3-8,NT,0,NA,NA,NA
2020-3-9,NSW,47,NA,NA,NA
2020-3-9,QLD,15,NA,NA,NA
2020-3-9,VIC,15,NA,NA,NA
2020-3-9,SA,7,NA,NA,NA
2020-3-9,WA,6,NA,NA,NA
2020-3-9,TAS,2,NA,NA,NA
2020-3-9,ACT,0,NA,NA,NA
2020-3-9,NT,0,NA,NA,NA
2020-3-10,NSW,60,NA,NA,NA
2020-3-10,QLD,18,NA,NA,NA
2020-3-10,VIC,19,NA,NA,NA
2020-3-10,SA,7,NA,NA,NA
2020-3-10,WA,6,NA,NA,NA
2020-3-10,TAS,2,NA,NA,NA
2020-3-10,ACT,0,NA,NA,NA
2020-3-10,NT,0,NA,NA,NA
2020-3-11,NSW,64,NA,NA,NA
2020-3-11,QLD,20,NA,NA,NA
2020-3-11,VIC,22,NA,NA,NA
2020-3-11,SA,9,NA,NA,NA
2020-3-11,WA,9,NA,NA,NA
2020-3-11,TAS,3,NA,NA,NA
2020-3-11,ACT,0,NA,NA,NA
2020-3-11,NT,0,NA,NA,NA
2020-3-12,NSW,77,NA,NA,NA
2020-3-12,QLD,27,NA,NA,NA
2020-3-12,VIC,27,NA,NA,NA
2020-3-12,SA,12,NA,NA,NA
2020-3-12,WA,9,NA,NA,NA
2020-3-12,TAS,3,NA,NA,NA
2020-3-12,ACT,1,NA,NA,NA
2020-3-12,NT,0,NA,NA,NA
2020-3-13,NSW,91,NA,NA,NA
2020-3-13,QLD,35,NA,NA,NA
2020-3-13,VIC,36,NA,NA,NA
2020-3-13,SA,16,NA,NA,NA
2020-3-13,WA,14,NA,NA,NA
2020-3-13,TAS,5,NA,NA,NA
2020-3-13,ACT,1,NA,NA,NA
2020-3-13,NT,0,NA,NA,NA
2020-3-14,NSW,111,NA,NA,NA
2020-3-14,QLD,46,NA,NA,NA
2020-3-14,VIC,49,NA,NA,NA
2020-3-14,SA,19,NA,NA,NA
2020-3-14,WA,17,NA,NA,NA
2020-3-14,TAS,5,NA,NA,NA
2020-3-14,ACT,1,NA,NA,NA
2020-3-14,NT,0,NA,NA,NA
2020-3-15,NSW,133,NA,NA,NA
2020-3-15,QLD,62,NA,NA,NA
2020-3-15,VIC,57,NA,NA,NA
2020-3-15,SA,20,NA,NA,NA
2020-3-15,WA,18,NA,NA,NA
2020-3-15,TAS,7,NA,NA,NA
2020-3-15,ACT,1,NA,NA,NA
2020-3-15,NT,0,NA,NA,NA
2020-3-16,NSW,170,NA,NA,NA
2020-3-16,QLD,68,NA,NA,NA
2020-3-16,VIC,71,NA,NA,NA
2020-3-16,SA,30,NA,NA,NA
2020-3-16,WA,28,NA,NA,NA
2020-3-16,TAS,7,NA,NA,NA
2020-3-16,ACT,2,NA,NA,NA
2020-3-16,NT,0,NA,NA,NA
2020-3-17,NSW,209,NA,NA,NA
2020-3-17,QLD,78,NA,NA,NA
2020-3-17,VIC,94,NA,NA,NA
2020-3-17,SA,32,NA,NA,NA
2020-3-17,WA,31,NA,NA,NA
2020-3-17,TAS,7,NA,NA,NA
2020-3-17,ACT,2,NA,NA,NA
2020-3-17,NT,0,NA,NA,NA
2020-3-18,NSW,266,NA,NA,NA
2020-3-18,QLD,94,NA,NA,NA
2020-3-18,VIC,121,NA,NA,NA
2020-3-18,SA,37,NA,NA,NA
2020-3-18,WA,35,NA,NA,NA
2020-3-18,TAS,10,NA,NA,NA
2020-3-18,ACT,3,NA,NA,NA
2020-3-18,NT,0,NA,NA,NA
2020-3-19,NSW,306,NA,NA,NA
2020-3-19,QLD,144,NA,NA,NA
2020-3-19,VIC,150,NA,NA,NA
2020-3-19,SA,42,NA,NA,NA
2020-3-19,WA,52,NA,NA,NA
2020-3-19,TAS,10,NA,NA,NA
2020-3-19,ACT,4,NA,NA,NA
2020-3-19,NT,0,NA,NA,NA
2020-3-20,NSW,381,NA,NA,NA
