monash_id,from_group,to_group
29822270,base,glue
29012449,base,stringr
31554679,base,magrittr
31429254,broom,forcats
31252869,broom,WeRTidy
27809951,dplyr,base
31335691,dplyr,tidyverse
28757599,dplyr,rvest
26815060,forcats,ggplot2
31266983,forcats,WeRTidy
28165314,forcats,magrittr
31291996,ggplot2,tidyr
31409733,ggplot2,dplyr
31324088,glue,WeRTidy
30768802,glue,base
30769884,glue,magrittr
28723635,glue,shiny
31418600,magrittr,shiny
31084486,magrittr,broom
28466659,magrittr,flowers
31203019,magrittr,readr
31430759,readr,forcats
31251587,readr,ggplot2
27851494,readr,WeRTidy
31292917,readr,stringr
31278213,flowers,rvest
31114229,flowers,dplyr
31161278,flowers,tidyverse
31259162,rvest,glue
28287703,rvest,dplyr
31245773,rvest,stringr
31196101,shiny,glue
31327427,shiny,readr
31237754,shiny,tidyr
31224245,stringr,readr
27232026,stringr,shiny
28446925,stringr,readr
30382106,stringr,base
31230008,WeRTidy,flowers
31384951,WeRTidy,shiny
31399827,WeRTidy,flowers
31322239,WeRTidy,stringr
31322743,tidyr,rvest
29215714,tidyr,magrittr
28009487,tidyr,broom
30032245,tidyverse,tidyr
26226308,tidyverse,forcats
